BuildingType,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus
Multifamily LR (1-4),47.55231,-122.38753,1969,3,0,24180,24180,0,Multifamily Housing,73,22.7,22.7,549390,549390,63.6,63.6,161017,549390,0,0,0,1.5,0.1,Compliant
Multifamily LR (1-4),47.55121,-122.38752,1980,4,0,23932,23932,0,Multifamily Housing,,24.9,24.4,596646,583810,69.8,68.3,171105,583810,0,0,0,1.6,0.1,Not Compliant
Campus,47.56596,-122.34001,1967,1,3,576750,576750,0,Non-Refrigerated Warehouse,,7.7,7.7,4576126,4576126,21.4,21.4,1341186,4576127,0,0,0,12.2,0,Compliant
Campus,47.57049,-122.34857,1989,2,3,139557,139557,0,Office,,49.1,47.6,6856966,6644340,110.6,108.5,1367775,4666848,19775,1977491,0,117.5,0.8,Compliant
NonResidential,47.56999,-122.34703,1997,2,0,40657,40657,0,Office,61,60.9,60.4,2474307,2455852,168.1,166.8,703887,2401661,542,54191,0,9.3,0.2,Compliant
Campus,47.57694,-122.34843,2001,3,2,51000,51000,0,Mixed Use Property,,561.5,561.5,75076320,75076320,1572.2,1572.2,22003610,75076317,0,0,0,200.4,3.9,Account Requires Verification
NonResidential,47.57279,-122.35066,1900,1,0,20200,20200,0,Non-Refrigerated Warehouse,83,7,7,141095,141095,18.7,18.7,38444,131170,99,9925,0,0.9,0,Not Compliant
Multifamily HR (10+),47.60492,-122.32532,1967,17,0,212938,212938,0,Multifamily Housing,99,51.1,48.8,10882509,10401278,67.5,65.2,495182,1689561,87117,8711716,0,467.2,2.2,Account Requires Verification
Multifamily LR (1-4),47.60523,-122.3249,1930,3,0,32688,32688,0,Multifamily Housing,70,55.3,52.8,1623346,1549427,83,80.4,122844,419145,11303,1130282,0,61.1,1.9,Compliant
Multifamily LR (1-4),47.60538,-122.3257,1948,3,0,50145,46445,3700,Multifamily Housing,38,78.6,75.1,3652466,3489724,111.5,107.8,224755,766864,27229,2722860,0,146.7,3.2,Compliant
Multifamily HR (10+),47.60668,-122.32619,2008,26,0,629615,455459,174156,Multifamily Housing,24,42.6,42.3,26849536,26627494,94.4,94,5228984,17841293,87862,8786200,0,514.3,1.1,Compliant
Multifamily LR (1-4),47.60733,-122.32727,1920,4,0,24900,24900,0,Multifamily Housing,61,86.6,83.1,2156517,2070339,112.3,108.7,89263,304564,17658,1765775,0,94.6,3.8,Account Requires Verification
Multifamily LR (1-4),47.60746,-122.32699,1929,4,0,25380,25380,0,Multifamily Housing,79,74.7,70.3,1895824,1784855,96.2,91.6,75445,257419,15274,1527436,0,81.8,3.2,Compliant
Multifamily MR (5-9),47.60707,-122.32651,2009,6,0,32489,27397,5092,Multifamily Housing,20,97.8,96.9,1989221,1972128,224.9,222.6,411588,1404339,5678,567789,0,33.9,1.2,Account Requires Verification
Multifamily HR (10+),47.60759,-122.32814,2006,17,0,332781,237425,95356,Multifamily Housing,2,82.5,81,14284382,14022871,198.3,195.3,3198819,10914370,31085,3108500,0,194.2,0.8,Compliant
Multifamily LR (1-4),47.60825,-122.32743,1902,4,0,54770,54770,0,Multifamily Housing,100,22.3,22.3,878557,878557,62.5,62.5,257490,878557,0,0,0,2.3,0,Account Requires Verification
Multifamily LR (1-4),47.60771,-122.32717,1906,4,0,33872,31979,1893,Multifamily Housing,100,13.4,13.3,349003,348341,33.8,33.8,86474,295049,533,53292,0,3.6,0.1,Account Requires Verification
NonResidential,47.6073,-122.32585,1904,1,0,44086,44086,0,Residence Hall/Dormitory,32,83.8,80.8,3695846,3561360,142,138.1,345917,1180267,5163,516346,1864747,129.7,2.9,Compliant
NonResidential,47.60663,-122.32526,1970,7,0,54372,33548,20824,Office,86,27.2,26.7,1478843,1450542,76.2,74.7,425129,1450542,0,0,0,3.9,0.1,Compliant
Multifamily LR (1-4),47.60629,-122.32444,1956,3,0,24039,24039,0,Multifamily Housing,88,35.5,34.4,853379,827286,99.4,96.4,242464,827286,0,0,0,2.2,0.1,Compliant
Multifamily MR (5-9),47.60583,-122.32469,1960,7,0,45564,45564,0,Multifamily Housing,72,68.3,65.1,3110612,2967566,94.1,90.8,170776,582689,23849,2384877,0,128.2,2.8,Compliant
Multifamily HR (10+),47.60445,-122.32171,1967,11,0,92183,92183,0,Multifamily Housing,,61.2,58.9,5637642,5428018,109.4,106.7,616174,2102384,3214,321389,3004244,182.4,2,Compliant
Multifamily LR (1-4),47.60522,-122.32274,1925,4,0,25316,25316,0,Multifamily Housing,,56.5,54.6,1431159,1381185,94.9,92.5,149103,508740,8724,872445,0,47.7,1.9,Compliant
Multifamily LR (1-4),47.6051,-122.32149,1957,3,0,51098,51098,0,Multifamily Housing,93,32.3,31.5,1649789,1609786,90.4,88.2,471801,1609786,0,0,0,4.3,0.1,Compliant
Multifamily MR (5-9),47.60486,-122.32224,1999,6,0,57042,42952,14090,Multifamily Housing,95,25.4,25.4,1089646,1089646,71,71,319357,1089646,0,0,0,2.9,0.1,Compliant
NonResidential,47.60709,-122.32416,1951,1,0,47699,47699,0,Museum,,252.9,250.4,11887550,11767116,447,443.9,1234105,4210766,1074,107406,7448944,412.9,8.7,Compliant
NonResidential,47.60862,-122.32372,1945,0,0,383914,227569,156345,Medical Office,62,120.9,120.1,27781434,27594452,235.4,235.7,3842408,13110296,0,0,14484154,805,3.5,Compliant
Multifamily HR (10+),47.61056,-122.32525,1982,17,0,76855,76855,0,Multifamily Housing,19,44.2,42.6,2829970,2726345,123.7,119.2,799046,2726345,0,0,0,7.3,0.1,Compliant
NonResidential,47.54563,-122.27616,1921,2,0,41022,41022,0,Other,,93.5,93.5,3835574,3835574,261.8,261.8,1124142,3835573,0,0,0,10.2,0.2,Compliant
Multifamily LR (1-4),47.72742,-122.29525,1982,4,0,93087,93087,0,Multifamily Housing,94,22.8,22.2,2126386,2070892,59.8,58.4,546064,1863170,2077,207722,0,16,0.2,Compliant
Multifamily LR (1-4),47.72741,-122.29477,1965,3,1,86835,86835,0,Multifamily Housing,46,36.7,35.7,1933457,1884728,102.6,100.1,552350,1884616,1,111,0,5,0.1,Compliant
Multifamily LR (1-4),47.72898,-122.2941,1990,4,0,128649,113994,14655,Multifamily Housing,62,32.1,31.6,3657514,3601424,89.8,88.5,1055517,3601424,0,0,0,9.6,0.1,Compliant
NonResidential,47.72986,-122.29278,1985,3,0,33580,20590,12990,Office,98,21.2,20,437211,412325,59.5,56.1,120846,412325,0,0,0,1.1,0.1,Account Requires Verification
Multifamily MR (5-9),47.72892,-122.29183,2010,7,0,165914,124773,41141,Multifamily Housing,100,28.7,28.5,3576510,3553888,65,64.9,730351,2491957,10619,1061931,0,63,0.5,Compliant
Multifamily LR (1-4),47.72241,-122.29669,2001,4,0,21388,17208,4180,Multifamily Housing,,27.8,27.3,479038,468925,77.9,76.3,137434,468925,0,0,0,1.3,0.1,Compliant
Multifamily MR (5-9),47.72186,-122.29733,2000,6,0,103554,72828,30726,Multifamily Housing,95,25.1,24.7,2010889,1985403,70.2,69.3,581888,1985403,0,0,0,5.3,0.1,Compliant
NonResidential,47.72051,-122.30103,1977,1,0,21936,21936,0,Non-Refrigerated Warehouse,98,5.3,5.1,117148,112870,11.5,11.2,21207,72360,405,40510,0,2.3,0.1,Compliant
NonResidential,47.72083,-122.29979,1969,1,0,30160,30160,0,Other,,37.3,34.9,1125620,1052512,51.8,49,62093,211862,8406,840650,0,45.2,1.5,Compliant
Multifamily LR (1-4),47.54731,-122.38656,1992,4,0,29357,29357,0,Multifamily Housing,95,21.5,21.5,632630,632630,60.3,60.3,185413,632630,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.54732,-122.38753,1991,4,0,28645,25003,3642,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.54411,-122.38762,1991,4,0,34544,33521,1023,Multifamily Housing,,26.9,26.1,821383,797541,68.7,67.1,202464,690807,1067,106734,0,7.5,0.2,Compliant
Multifamily LR (1-4),47.54365,-122.38766,1960,3,0,22195,22195,0,Multifamily Housing,79,27.2,26.4,604004,586646,76.2,74,171936,586646,0,0,0,1.6,0.1,Compliant
Multifamily MR (5-9),47.5923,-122.38322,1976,5,0,72155,72155,0,Multifamily Housing,67,30,29,2163901,2093384,67.9,66,429246,1464586,6288,628797,0,37.3,0.5,Compliant
NonResidential,47.61056,-122.33661,1909,11,0,111137,111137,0,Mixed Use Property,,99.8,99.3,9888294,9834141,199.1,199.2,1574622,5372610,44615,4461532,0,251.3,2.3,Compliant
Multifamily LR (1-4),47.54914,-122.38758,1989,3,0,30080,22632,7448,Multifamily Housing,82,23.8,23.2,716068,697424,66.7,64.9,204403,697424,0,0,0,1.9,0.1,Compliant
Multifamily HR (10+),47.61633,-122.34894,1993,25,0,260685,255205,5480,Multifamily Housing,,36.1,35.3,11427238,11177693,82.1,80.8,2323933,7929259,32484,3248434,0,193.7,0.8,Compliant
Multifamily LR (1-4),47.59018,-122.31687,1963,4,0,20467,20467,0,Multifamily Housing,93,19,18.6,389018,380254,53.2,52,111446,380254,0,0,0,1,0,Compliant
NonResidential,47.56319,-122.35067,1997,1,0,40189,40189,0,Other - Utility,,20.9,20.4,784720,765775,44.7,44.2,142728,486987,2788,278788,0,16.1,0.4,Compliant
NonResidential,47.57058,-122.35626,1966,2,0,28109,28109,0,Other,,70.9,70.9,1992168,1992168,194.1,194.1,563228,1921734,704,70434,0,8.9,0.3,Compliant
NonResidential,47.56877,-122.36369,1988,2,0,27000,27000,0,Office,68,47.8,46.5,3651126,3550495,102.8,101.5,672793,2295570,12549,1254925,0,72.8,2.7,Compliant
NonResidential,47.60958,-122.32646,1928,6,0,35770,35770,0,Hotel,71,74.7,71.3,2670714,2549106,106.9,103.3,170611,582126,19670,1966980,0,106,3,Compliant
Multifamily MR (5-9),47.60973,-122.32594,1925,5,0,51900,51900,0,Multifamily Housing,,58.5,55.2,3036828,2862470,76.6,73.1,131698,449354,24131,2413116,0,129.4,2.5,Compliant
NonResidential,47.60981,-122.32687,1928,9,0,48006,48006,0,Hotel,82,72.4,73.1,3475430,3507044,131.1,132.9,451950,1542055,19650,1964989,0,108.5,2.3,Compliant
NonResidential,47.59949,-122.31851,1960,2,0,29631,29631,0,Mixed Use Property,,126.8,124.2,4311270,4222738,257.1,254.4,706107,2409238,18135,1813501,0,102.7,3.5,Compliant
NonResidential,47.59727,-122.32196,1989,2,0,23472,23472,0,Office,,59.1,58.1,1342534,1318731,125.4,125.6,245748,838492,4802,480239,0,27.7,1.2,Compliant
Nonresidential COS,47.5956,-122.32292,1973,2,0,21315,21315,0,Office,41,164.2,155.9,3352792,3183848,249.9,241.2,265215,904914,22789,2278934,0,123.4,5.8,Compliant
Multifamily MR (5-9),47.59296,-122.39038,1996,5,0,23821,23821,0,Multifamily Housing,,43.4,42.3,1033959,1006543,73.3,72.1,110638,377499,6290,629044,0,34.4,1.4,Compliant
Multifamily HR (10+),47.61273,-122.32481,1980,11,0,53290,53290,0,Multifamily Housing,95,30.3,29.4,1615015,1565485,84.9,82.3,458817,1565485,0,0,0,4.2,0.1,Compliant
Multifamily LR (1-4),47.64934,-122.32396,1991,4,0,32040,32040,0,Multifamily Housing,41,45.1,44.5,1445757,1424809,95.2,94.5,256510,875211,5496,549598,0,31.5,1,Compliant
Multifamily LR (1-4),47.62484,-122.3629,1985,4,0,22716,22716,0,Multifamily Housing,29,38.5,37.2,857735,829619,107.7,104.2,243148,829619,0,0,0,2.2,0.1,Compliant
Multifamily LR (1-4),47.62526,-122.3629,1967,4,0,43477,36292,7185,Multifamily Housing,75,53.6,52,1783518,1732082,112.4,109.3,305044,1040812,6913,691271,0,39.5,1.1,Compliant
Multifamily MR (5-9),47.62575,-122.36296,1930,5,0,31040,25845,5195,Multifamily Housing,96,26.1,25,674013,646143,72.9,69.9,188891,644495,16,1648,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.62479,-122.36364,1957,4,0,23636,23636,0,Multifamily Housing,94,25.9,25.3,612376,597325,72.5,70.8,175066,597325,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.62616,-122.36357,1982,4,0,109864,87864,22000,Multifamily Housing,96,23,22.3,2017990,1956715,64.3,62.4,573480,1956715,0,0,0,5.2,0.1,Compliant
Multifamily LR (1-4),47.62563,-122.36358,1982,4,0,25357,25357,0,Multifamily Housing,,23,22.4,582068,568659,59,57.8,145341,495903,728,72756,0,5.2,0.2,Compliant
Multifamily LR (1-4),47.62796,-122.3597,1975,4,0,24084,24084,0,Multifamily Housing,,56.2,53.8,1354713,1295702,104,100.1,175905,600186,6955,695516,0,38.5,1.6,Compliant
Multifamily LR (1-4),47.62691,-122.35639,1915,4,0,24280,24280,0,Multifamily Housing,100,20.5,19.8,496842,480261,40.5,38.6,72369,246922,2333,233339,0,13,0.5,Account Requires Verification
Multifamily LR (1-4),47.62651,-122.35632,1958,4,0,36732,36732,0,Multifamily Housing,96,23.3,22.6,791773,767874,65.2,63.2,225051,767874,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.62749,-122.35648,1929,4,0,41137,35178,5959,Multifamily Housing,86,43,40.9,1790660,1702389,57.4,55,84455,288162,14142,1414227,0,75.9,2.2,Compliant
Multifamily LR (1-4),47.62847,-122.35645,1913,3,0,21234,21234,0,Multifamily Housing,84,39.2,38.4,832589,816271,73.4,71.2,109665,374178,4421,442093,0,24.5,1.2,Compliant
Multifamily MR (5-9),47.62828,-122.35635,1962,5,0,29454,25671,3783,Multifamily Housing,96,23.6,22.8,604712,586577,66,64,171916,586577,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.62855,-122.35713,1962,4,0,25596,25596,0,Multifamily Housing,92,23.8,23.1,610102,592101,66.7,64.8,173535,592101,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.62801,-122.35701,1948,3,0,23120,23120,0,Multifamily Housing,81,50.3,48.2,1163391,1114079,68.9,66.6,62016,211600,9025,902479,0,48.5,2.1,Compliant
Multifamily MR (5-9),47.62763,-122.35669,1958,6,0,39212,39212,0,Multifamily Housing,91,33.4,32.1,1310824,1257330,93.6,89.8,368502,1257330,0,0,0,3.4,0.1,Account Requires Verification
Multifamily LR (1-4),47.628,-122.35769,1960,4,0,22093,22093,0,Multifamily Housing,90,23.1,22.4,510242,494732,64.7,62.7,144998,494732,0,0,0,1.3,0.1,Compliant
Multifamily LR (1-4),47.62522,-122.35707,1906,2,0,22113,22113,0,Retail Store,27,54.2,54.2,336993,336993,151.9,151.9,98767,336993,0,0,0,0.9,0,Compliant
NonResidential,47.62481,-122.35762,1984,4,0,57110,41298,15812,Office,71,48.5,47.7,1789319,1760773,119.6,118.8,425039,1450234,3105,310539,0,20.4,0.5,Compliant
Multifamily LR (1-4),47.62561,-122.35763,1914,4,0,40370,40370,0,Multifamily Housing,,24.8,24.1,1001531,972689,69.5,67.5,285079,972688,0,0,0,2.6,0.1,Compliant
Multifamily LR (1-4),47.62526,-122.35471,1924,4,0,51150,51150,0,Multifamily Housing,65,74.5,71,3600013,3431110,98.2,94.5,161642,551521,28796,2879589,0,154.4,3,Compliant
Multifamily MR (5-9),47.62657,-122.3584,1950,8,0,129860,83306,46554,Multifamily Housing,95,74.4,70.4,6198499,5868592,105.7,101.6,384841,1313077,45555,4555516,0,245.4,2.9,Compliant
Multifamily LR (1-4),47.588,-122.3177,1968,4,0,35796,35796,0,Multifamily Housing,64,33.3,32.4,2308680,2241024,93.3,90.6,656806,2241024,0,0,0,6,0.2,Compliant
Multifamily LR (1-4),47.73357,-122.29501,1975,3,0,72671,72671,0,Multifamily Housing,59,36.8,35.8,2165484,2105850,100,97.2,587469,2004444,1014,101406,0,10.7,0.1,Compliant
Multifamily LR (1-4),47.7336,-122.29434,1967,2,0,22382,22382,0,Multifamily Housing,77,30.8,30.1,690195,673768,86.3,84.3,197470,673768,0,0,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.73225,-122.29494,1977,3,0,27639,27639,0,Multifamily Housing,81,26.1,26.1,620096,620096,73.2,73.2,181740,620096,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.73316,-122.29595,1970,2,0,101613,101613,0,Multifamily Housing,100,24.4,23.6,2477368,2395051,59.8,57.7,560243,1911550,4835,483502,0,30.8,0.3,Account Requires Verification
Multifamily LR (1-4),47.73351,-122.29679,1986,3,0,30942,30942,0,Multifamily Housing,60,32.3,31.5,999041,973634,90.4,88.1,285356,973634,0,0,0,2.6,0.1,Compliant
NonResidential,47.58654,-122.37644,1902,2,0,20398,20398,0,Restaurant,,457.7,454.8,9335772,9277030,776.7,775.4,1017396,3471355,58057,5805676,0,317.6,15.6,Compliant
NonResidential,47.5746,-122.32637,1952,1,0,41308,41308,0,Distribution Center,8,38,36.9,1569686,1525389,88.7,87.5,337314,1150915,3745,374474,0,23,0.6,Compliant
Multifamily LR (1-4),47.62586,-122.36388,1930,3,0,36751,36751,0,Multifamily Housing,,84.9,81,3118327,2978114,109.1,105,122845,419146,25590,2558968,0,137,3.7,Compliant
Multifamily LR (1-4),47.53979,-122.39409,1978,4,0,39888,39888,0,Multifamily Housing,44,61.7,59.5,2460574,2374994,102.4,99,243398,830472,15445,1544522,0,84.2,2.1,Compliant
Multifamily LR (1-4),47.71677,-122.31219,2000,3,0,30833,30833,0,Multifamily Housing,,23.3,22.8,716986,704168,65.1,63.9,206380,704168,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),47.61963,-122.357,2001,6,0,28453,28453,0,Multifamily Housing,,30,29.9,852779,851386,83.5,83.4,247592,844785,66,6601,0,2.6,0.1,Account Requires Verification
Multifamily MR (5-9),47.6214,-122.32765,1966,7,0,28291,28291,0,Multifamily Housing,92,26.6,26.2,752374,741646,74.5,73.4,217364,741646,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.62514,-122.34784,1999,4,0,34459,34459,0,Multifamily Housing,75,24.5,24.2,844387,832816,68.6,67.7,244084,832816,0,0,0,2.2,0.1,Compliant
Multifamily MR (5-9),47.55769,-122.38708,2002,6,0,40025,40025,0,Multifamily Housing,88,35.5,34.9,1420024,1396255,77.2,76.6,267612,913093,4832,483162,0,28.1,0.7,Compliant
Multifamily MR (5-9),47.62551,-122.32633,1981,8,0,25012,25012,0,Multifamily Housing,,30.3,29.5,758417,736878,84.9,82.5,215967,736878,0,0,0,2,0.1,Compliant
Multifamily MR (5-9),47.62933,-122.35628,1968,7,0,35750,30709,5041,Multifamily Housing,100,36.7,35.6,1311777,1274297,74.3,71.8,205560,701369,5729,572928,0,32.3,1.1,Compliant
Multifamily MR (5-9),47.63781,-122.34421,1984,5,0,34726,34726,0,Multifamily Housing,82,24.8,24.4,861793,846301,69.5,68.2,248036,846301,0,0,0,2.3,0.1,Compliant
Multifamily LR (1-4),47.61701,-122.31171,1980,3,0,49106,49106,0,Multifamily Housing,53,24.5,23.7,1205169,1162817,68.7,66.3,340802,1162817,0,0,0,3.1,0.1,Compliant
Multifamily LR (1-4),47.61656,-122.32379,1965,3,0,24754,24754,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.72048,-122.31233,2002,3,0,30870,30870,0,Multifamily Housing,75,24.6,24.6,797026,797026,69,69,233595,797026,0,0,0,2.1,0.1,Compliant
Multifamily MR (5-9),47.6015,-122.32722,2001,7,0,109284,109284,0,Multifamily Housing,100,22,21.6,1731572,1701678,61.6,60.6,498734,1701679,0,0,0,4.5,0,Compliant
Multifamily LR (1-4),47.62747,-122.35447,1999,4,0,28766,28766,0,Multifamily Housing,,29.6,28.8,852226,829331,64.1,62.8,156676,534578,2948,294753,0,17.1,0.6,Compliant
Multifamily LR (1-4),47.62741,-122.34577,1981,4,0,24570,24570,0,Multifamily Housing,71,28.9,28.4,710107,697541,80.9,79.5,204438,697541,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),47.61323,-122.31641,2007,5,0,50749,50749,0,Multifamily Housing,70,33.3,32.6,1692462,1654420,92.5,90.4,477692,1629885,245,24535,0,5.7,0.1,Compliant
Multifamily MR (5-9),47.61343,-122.31641,2007,6,0,91520,91520,0,Multifamily Housing,51,36.9,36.6,3380150,3353019,102,101.2,961373,3280203,728,72816,0,12.6,0.1,Compliant
Multifamily LR (1-4),47.64786,-122.32378,2004,4,0,62504,51376,11128,Multifamily Housing,90,26.9,26.3,1380421,1348649,58.2,57.3,256033,873584,4751,475065,0,27.6,0.5,Account Requires Verification
Multifamily MR (5-9),47.6148,-122.34568,2003,7,0,39962,39962,0,Multifamily Housing,,37.7,36.3,1505445,1451222,74.7,72.7,231228,788951,6623,662271,0,37.3,0.9,Compliant
NonResidential,47.60195,-122.33516,1913,3,0,43878,43878,0,Mixed Use Property,,21.2,21.2,696635,696635,58.6,58.6,200117,682799,138,13836,0,2.6,0.1,Compliant
NonResidential,47.62591,-122.35843,1912,3,0,34976,34976,0,Performing Arts,,24.2,23.4,846798,819605,56.3,55.2,179332,611880,2077,207725,0,12.7,0.4,Compliant
Multifamily LR (1-4),47.62584,-122.35896,1947,3,0,22604,22604,0,Multifamily Housing,56,63.7,60.5,1440980,1367930,82,78.6,56934,194261,11737,1173669,0,62.9,2.8,Compliant
Multifamily LR (1-4),47.62662,-122.35876,1909,4,0,46296,46296,0,Multifamily Housing,36,66.1,62.7,3058475,2904626,82.3,78.8,100053,341380,25632,2563245,0,137,3,Compliant
Multifamily LR (1-4),47.62752,-122.35831,1929,3,0,36282,31400,4882,Multifamily Housing,96,32.5,31.4,1018945,986142,68.5,66,173459,591841,3943,394301,0,22.5,0.7,Compliant
Multifamily MR (5-9),47.62692,-122.35893,1970,9,0,54820,44547,10273,Multifamily Housing,55,57,55.2,2538637,2458293,137.2,132.5,556077,1897334,5610,560959,0,34.9,0.8,Compliant
Multifamily MR (5-9),47.62747,-122.35961,1960,6,0,44016,37296,6720,Multifamily Housing,100,21.9,21.1,815086,787828,61.2,59.1,230899,787828,0,0,0,2.1,0.1,Account Requires Verification
Multifamily LR (1-4),47.627,-122.36028,1930,3,0,31552,28564,2988,Multifamily Housing,69,58.4,55,1843650,1735847,76.4,72.8,79571,271498,14643,1464349,0,78.5,2.7,Compliant
Multifamily LR (1-4),47.62643,-122.35956,1925,3,0,29533,29533,0,Multifamily Housing,96,46.4,44.9,1371235,1325302,65.6,63.9,83198,283872,10414,1041430,0,56.1,1.9,Compliant
Multifamily LR (1-4),47.6261,-122.35953,1930,3,0,20688,20688,0,Multifamily Housing,22,80.7,78.4,1669160,1622891,104.1,101.8,67309,229658,13932,1393233,0,74.6,3.6,Compliant
Multifamily LR (1-4),47.60304,-122.33362,1946,3,0,22972,22972,0,Multifamily Housing,58,63.6,59.9,1460168,1376527,80.6,76.8,53482,182482,11940,1194045,0,63.9,2.8,Compliant
Multifamily LR (1-4),47.62611,-122.36129,1985,4,0,49034,45494,3540,Multifamily Housing,95,25.9,25.3,1267945,1240942,72.4,70.9,363699,1240942,0,0,0,3.3,0.1,Compliant
Multifamily LR (1-4),47.627,-122.36372,1962,4,0,33164,27008,6156,Multifamily Housing,94,22.9,22.7,619264,613923,64.2,63.6,179930,613923,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.62782,-122.36583,1907,4,0,38407,38407,0,Multifamily Housing,69,32.3,31.1,1240249,1195353,90.4,87.1,350338,1195353,0,0,0,3.2,0.1,Compliant
Multifamily MR (5-9),47.62767,-122.36518,1955,6,0,88422,75086,13336,Multifamily Housing,77,70.2,67.7,5269513,5085050,98.8,96.2,315370,1076042,40090,4009008,0,215.8,2.9,Compliant
Multifamily LR (1-4),47.62862,-122.36827,1907,4,0,34498,34498,0,Multifamily Housing,100,28.8,27.7,992071,954897,39.3,38.1,52328,178543,7764,776354,0,41.7,1.2,Account Requires Verification
Multifamily LR (1-4),47.73052,-122.29555,1985,4,0,56074,56074,0,Multifamily Housing,88,26,25.5,1456378,1429137,72.7,71.4,418856,1429137,0,0,0,3.8,0.1,Compliant
Multifamily LR (1-4),47.73108,-122.29422,1981,4,0,43132,43132,0,Multifamily Housing,58,29.5,28.7,1272825,1236153,82.6,80.2,362296,1236153,0,0,0,3.3,0.1,Compliant
Multifamily MR (5-9),47.73072,-122.29476,1968,5,1,25671,25671,0,Multifamily Housing,97,25.7,25.1,659975,643850,72,70.2,188702,643850,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.73082,-122.29418,1993,4,0,31379,25550,5829,Multifamily Housing,77,28.7,28,900984,877446,80.4,78.3,257165,877446,0,0,0,2.3,0.1,Compliant
Multifamily LR (1-4),47.73014,-122.29514,1969,4,0,24052,24052,0,Multifamily Housing,83,25.9,25,623228,601295,72.6,70,176229,601295,0,0,0,1.6,0.1,Compliant
Multifamily MR (5-9),47.73182,-122.29322,2003,6,0,119355,72985,46370,Multifamily Housing,81,27.9,27.7,2033946,2022846,78,77.6,592862,2022846,0,0,0,5.4,0.1,Compliant
NonResidential,47.65674,-122.37223,1957,1,0,38255,38255,0,Non-Refrigerated Warehouse,76,22.2,21.1,1117282,1057240,41,39.6,147076,501822,5554,555418,0,30.8,0.8,Compliant
Campus,47.65561,-122.38063,1955,1,25,302857,302857,0,Mixed Use Property,,113.2,110.4,31201916,30432520,303.9,296.8,8350428,28491660,19409,1940858,0,179.1,0.6,Compliant
Multifamily LR (1-4),47.67965,-122.26401,1970,4,0,144779,144779,0,Multifamily Housing,63,29.2,29.2,4222562,4222562,81.7,81.7,1237562,4222562,0,0,0,11.3,0.1,Compliant
Multifamily LR (1-4),47.6815,-122.32507,1967,3,0,20210,20210,0,Multifamily Housing,88,28.3,27.8,566300,555532,66.2,64.9,119583,408018,1475,147515,0,8.9,0.4,Compliant
Multifamily LR (1-4),47.53104,-122.26968,1956,2,2,21708,21708,0,Multifamily Housing,63,65.4,62.5,1418997,1357379,98,95.1,106888,364701,9927,992678,0,53.7,2.5,Compliant
Multifamily LR (1-4),47.53647,-122.2688,2006,2,0,55842,55842,0,Multifamily Housing,45,31.9,31.9,1366008,1366008,89.4,89.4,400354,1366008,0,0,0,3.6,0.1,Compliant
Multifamily HR (10+),47.62464,-122.32444,1970,12,0,97160,81857,15303,Multifamily Housing,19,42,40.1,4534720,4328908,117.6,112.2,1268730,4328907,0,0,0,11.6,0.1,Compliant
Multifamily LR (1-4),47.61991,-122.3098,1929,4,0,23875,23875,0,Multifamily Housing,51,61.4,58.8,1466573,1403316,84.2,81.4,78712,268566,11348,1134750,0,61,2.6,Compliant
Multifamily LR (1-4),47.67334,-122.40606,1999,4,0,28467,28467,0,Multifamily Housing,,17.1,16.8,425189,418032,47.9,47.1,122518,418032,0,0,0,1.1,0,Account Requires Verification
NonResidential,47.65103,-122.35541,1989,3,0,48924,48924,0,Office,59,75.1,72.7,2353633,2278281,138.7,137.1,318664,1087282,11910,1190999,0,66.2,1.4,Compliant
Multifamily MR (5-9),47.62177,-122.35636,2001,6,0,22551,22551,0,Multifamily Housing,72,40.2,39.6,906001,892069,103.1,101.8,227614,776619,1154,115450,0,8.2,0.4,Compliant
Multifamily LR (1-4),47.63794,-122.32867,1989,2,0,21643,21643,0,Multifamily Housing,,46.2,44.4,999284,961123,68.9,67.1,74170,253067,7081,708056,0,38.3,1.8,Compliant
